step,loss,grad_norm_pre_clip,learning_rate,epoch_passes,step_seconds,source_ids,allocated_gib,reserved_gib,peak_allocated_gib,peak_reserved_gib
1,3.1061088256537914,915.9046020507812,6e-08,0.021164021164021163,4.313727714121342,"[""co-currency-t0"", ""zm-region-t0"", ""th-capital-t2"", ""bg-capital-t3""]",43.68125915527344,59.291015625,57.24441909790039,59.291015625
2,1.6196952238678932,579.1414794921875,1.2e-07,0.042328042328042326,4.071028092876077,"[""il-capital-t1"", ""tz-region-t1"", ""gh-region-t0"", ""ch-currency-t3""]",43.68079662322998,66.541015625,65.48702716827393,66.541015625
3,3.330014944076538,749.6830444335938,1.8e-07,0.06349206349206349,4.034037008881569,"[""cd-region-t2"", ""gh-region-t1"", ""bg-region-t0"", ""lt-region-t2""]",43.68125915527344,66.54296875,65.4905309677124,66.54296875
4,2.901815176010132,769.2987670898438,2.4e-07,0.08465608465608465,4.085777699947357,"[""ch-region-t3"", ""zw-region-t2"", ""so-region-t0"", ""dk-capital-t3""]",43.68125915527344,66.54296875,65.4905309677124,66.54296875
5,4.104093641042709,1020.4942016601562,3e-07,0.10582010582010581,4.111787770874798,"[""rw-region-t2"", ""ve-capital-t1"", ""no-capital-t3"", ""ma-currency-t1""]",43.68125915527344,66.578125,65.52909517288208,66.578125
6,2.0967960953712463,842.5532836914062,3e-07,0.12698412698412698,4.194297572597861,"[""no-capital-t0"", ""sn-region-t2"", ""bg-region-t1"", ""hk-region-t2""]",43.681721687316895,66.578125,65.52909517288208,66.578125
7,3.463834248483181,793.6890869140625,3e-07,0.14814814814814814,4.120758974924684,"[""cm-region-t1"", ""ch-capital-t2"", ""pk-capital-t3"", ""th-region-t1""]",43.683109283447266,66.578125,65.52909517288208,66.578125
8,2.5237046480178833,781.168701171875,3e-07,0.1693121693121693,4.0498139429837465,"[""pk-capital-t2"", ""dk-region-t2"", ""bg-capital-t0"", ""mz-region-t0""]",43.681721687316895,66.578125,65.52909517288208,66.578125
9,2.473672404885292,747.41357421875,3e-07,0.19047619047619047,4.0481680408120155,"[""ir-capital-t1"", ""ly-region-t2"", ""mz-region-t2"", ""co-currency-t2""]",43.680177211761475,66.578125,65.52909517288208,66.578125
10,2.1752385571599007,539.5535888671875,3e-07,0.21164021164021163,4.132922639138997,"[""ne-region-t0"", ""zw-region-t0"", ""th-capital-t0"", ""ch-currency-t2""]",43.68125915527344,66.578125,65.52909517288208,66.578125
