step,loss,grad_norm_pre_clip,learning_rate,epoch_passes,step_seconds,source_ids,allocated_gib,reserved_gib,peak_allocated_gib,peak_reserved_gib
1,1.498291790485382,558.4078369140625,2e-07,0.021164021164021163,4.297624306753278,"[""co-currency-t0"", ""zm-region-t0"", ""th-capital-t2"", ""bg-capital-t3""]",43.68206024169922,59.29296875,57.24522018432617,59.29296875
2,1.0757946819067001,233.4912567138672,4e-07,0.042328042328042326,3.988658217713237,"[""il-capital-t1"", ""tz-region-t1"", ""gh-region-t0"", ""ch-currency-t3""]",43.68159770965576,66.54296875,65.4887466430664,66.54296875
3,1.2082082033157349,234.7550048828125,6e-07,0.06349206349206349,3.963815700262785,"[""cd-region-t2"", ""gh-region-t1"", ""bg-region-t0"", ""lt-region-t2""]",43.6821174621582,66.544921875,65.49236488342285,66.544921875
4,1.1281379088759422,227.5836944580078,8e-07,0.08465608465608465,3.9328835867345333,"[""ch-region-t3"", ""zw-region-t2"", ""so-region-t0"", ""dk-capital-t3""]",43.682003021240234,66.544921875,65.49236488342285,66.544921875
5,1.7969940155744553,533.8506469726562,1e-06,0.10582010582010581,3.961964805610478,"[""rw-region-t2"", ""ve-capital-t1"", ""no-capital-t3"", ""ma-currency-t1""]",43.6821174621582,66.580078125,65.5313868522644,66.580078125
6,0.6524894442409277,168.26947021484375,1e-06,0.12698412698412698,4.052687169983983,"[""no-capital-t0"", ""sn-region-t2"", ""bg-region-t1"", ""hk-region-t2""]",43.682637214660645,66.580078125,65.5313868522644,66.580078125
7,0.5292079336941242,138.9009246826172,1e-06,0.14814814814814814,3.941206128336489,"[""cm-region-t1"", ""ch-capital-t2"", ""pk-capital-t3"", ""th-region-t1""]",43.68419647216797,66.580078125,65.5313868522644,66.580078125
8,0.16905497014522552,56.48976516723633,1e-06,0.1693121693121693,3.946111244149506,"[""pk-capital-t2"", ""dk-region-t2"", ""bg-capital-t0"", ""mz-region-t0""]",43.682637214660645,66.580078125,65.5313868522644,66.580078125
9,0.237502196803689,102.21891021728516,1e-06,0.19047619047619047,3.991977207362652,"[""ir-capital-t1"", ""ly-region-t2"", ""mz-region-t2"", ""co-currency-t2""]",43.68086385726929,66.580078125,65.5313868522644,66.580078125
10,0.060947451973333955,25.03352165222168,1e-06,0.21164021164021163,3.991207679733634,"[""ne-region-t0"", ""zw-region-t0"", ""th-capital-t0"", ""ch-currency-t2""]",43.682003021240234,66.580078125,65.5313868522644,66.580078125
