model,lens,layer,source_id,country_id,clean_kurtosis,clean_lesion_cosine,clean_residual_norm,lesion_kurtosis,lesion_minus_clean_kurtosis,lesion_residual_norm,lesion_to_clean_norm_ratio
base,published,16,cu-capital-t0,CU,1.157383918762207,0.9895502924919128,10.781415939331055,0.8762907981872559,-0.28109312057495117,10.719597816467285,0.9942662119865417
base,published,16,cu-capital-t1,CU,1.2157368659973145,0.9941083788871765,10.657598495483398,0.7514564990997314,-0.464280366897583,10.5936279296875,0.9939976334571838
base,published,16,cu-capital-t2,CU,1.4066057205200195,0.9939272403717041,10.184566497802734,0.8449170589447021,-0.5616886615753174,10.122844696044922,0.9939396977424622
base,published,16,cu-capital-t3,CU,1.0856013298034668,0.9882271885871887,10.946724891662598,0.9863972663879395,-0.09920406341552734,10.874922752380371,0.9934407472610474
base,published,16,fi-capital-t0,FI,1.1668243408203125,0.9929185509681702,10.815465927124023,0.8527848720550537,-0.3140394687652588,10.754770278930664,0.9943880438804626
base,published,16,fi-capital-t1,FI,1.1690683364868164,0.9940601587295532,10.702396392822266,0.8346221446990967,-0.3344461917877197,10.639945030212402,0.9941647052764893
base,published,16,fi-capital-t2,FI,1.4216370582580566,0.9934498071670532,10.186086654663086,1.0025062561035156,-0.419130802154541,10.128190040588379,0.9943161010742188
base,published,16,fi-currency-t0,FI,1.7433509826660156,0.9897962808609009,10.839299201965332,0.8500611782073975,-0.8932898044586182,10.770109176635742,0.9936167597770691
base,published,16,fi-currency-t1,FI,1.0435490608215332,0.9898885488510132,10.391551971435547,0.7278218269348145,-0.31572723388671875,10.322789192199707,0.9933828115463257
base,published,16,fi-currency-t2,FI,1.1261787414550781,0.993635356426239,10.11058235168457,0.6347968578338623,-0.4913818836212158,10.056492805480957,0.9946501851081848
base,published,16,fi-currency-t3,FI,1.6936674118041992,0.9920614361763,10.597997665405273,0.591111421585083,-1.1025559902191162,10.5418119430542,0.9946984648704529
base,published,16,fi-region-t1,FI,1.9084815979003906,0.9942386150360107,11.177140235900879,0.8200700283050537,-1.088411569595337,11.109877586364746,0.9939821362495422
base,published,16,fi-region-t2,FI,1.6784815788269043,0.9951878190040588,11.180732727050781,0.8088126182556152,-0.8696689605712891,11.124523162841797,0.9949726462364197
base,published,16,gm-region-t1,GM,1.7620949745178223,0.9945268630981445,11.132366180419922,0.8259937763214111,-0.9361011981964111,11.067926406860352,0.9942114949226379
base,published,16,gm-region-t2,GM,1.4685039520263672,0.9959943890571594,11.111769676208496,0.8187341690063477,-0.6497697830200195,11.06437873840332,0.9957350492477417
base,published,16,ie-capital-t0,IE,1.3277931213378906,0.9934350848197937,11.28860855102539,0.8079047203063965,-0.5198884010314941,11.232911109924316,0.9950660467147827
base,published,16,ie-capital-t1,IE,1.2784056663513184,0.9923949837684631,10.828163146972656,0.9256818294525146,-0.3527238368988037,10.766151428222656,0.9942731261253357
base,published,16,ie-capital-t2,IE,1.5754432678222656,0.9926795959472656,10.08623218536377,0.6841533184051514,-0.8912899494171143,10.019989967346191,0.9934324026107788
base,published,16,ie-capital-t3,IE,1.4549102783203125,0.9929903745651245,10.879438400268555,1.01658296585083,-0.4383273124694824,10.821252822875977,0.9946517944335938
base,published,16,ie-currency-t0,IE,1.6871919631958008,0.9905228614807129,11.031639099121094,0.9248733520507812,-0.7623186111450195,10.968623161315918,0.9942877292633057
base,published,16,ie-currency-t1,IE,1.0996055603027344,0.9897776246070862,10.365638732910156,0.6708638668060303,-0.4287416934967041,10.299132347106934,0.9935839772224426
base,published,16,ie-currency-t2,IE,1.286726951599121,0.9931817054748535,10.116393089294434,0.6565687656402588,-0.6301581859588623,10.055877685546875,0.9940180778503418
base,published,16,ie-currency-t3,IE,2.101428508758545,0.9923253059387207,10.773651123046875,0.6751213073730469,-1.426307201385498,10.708646774291992,0.9939663410186768
base,published,16,ie-region-t1,IE,1.8851556777954102,0.9943093657493591,11.19147777557373,0.7945940494537354,-1.0905616283416748,11.123966217041016,0.993967592716217
base,published,16,ie-region-t2,IE,1.7795262336730957,0.9943268299102783,11.132030487060547,0.7498793601989746,-1.029646873474121,11.065372467041016,0.9940120577812195
