step,loss,grad_norm_pre_clip,learning_rate,epoch_passes,step_seconds,source_ids,allocated_gib,reserved_gib,peak_allocated_gib,peak_reserved_gib
1,3.0313010066747665,987.6148681640625,2e-07,0.021164021164021163,4.181955577805638,"[""mm-region-t0"", ""tn-capital-t1"", ""sn-region-t0"", ""cm-region-t3""]",43.68125915527344,59.30859375,57.24441909790039,59.30859375
2,5.093705654144287,1067.188232421875,4e-07,0.042328042328042326,4.181364648044109,"[""eh-region-t1"", ""ma-region-t2"", ""lt-currency-t2"", ""ro-currency-t3""]",43.68033409118652,66.53515625,65.48702716827393,66.53515625
3,2.8740981072187424,613.220947265625,6e-07,0.06349206349206349,4.095025218091905,"[""mm-region-t1"", ""sn-region-t1"", ""bg-capital-t2"", ""nl-currency-t3""]",43.68125915527344,66.53515625,65.48702716827393,66.53515625
4,2.8823136799037457,1068.0859375,8e-07,0.08465608465608465,4.095202254131436,"[""eh-currency-t3"", ""nl-region-t2"", ""nl-capital-t2"", ""zm-region-t0""]",43.68125915527344,66.53515625,65.48702716827393,66.53515625
5,4.733075737953186,1800.920166015625,1e-06,0.10582010582010581,4.1011728793382645,"[""no-region-t1"", ""nl-currency-t0"", ""ve-capital-t2"", ""tw-region-t3""]",43.681721687316895,66.54296875,65.4905309677124,66.54296875
6,5.382964551448822,1360.2017822265625,1e-06,0.12698412698412698,4.192906226031482,"[""ma-currency-t2"", ""tw-capital-t1"", ""eh-currency-t0"", ""cg-region-t0""]",43.68288612365723,66.568359375,65.5186996459961,66.568359375
7,1.5871156603097916,525.339111328125,1e-06,0.14814814814814814,4.1022520661354065,"[""nl-region-t3"", ""bf-region-t1"", ""mz-region-t0"", ""dk-capital-t3""]",43.68125915527344,66.568359375,65.5186996459961,66.568359375
8,2.0526166409254074,1091.2286376953125,1e-06,0.1693121693121693,3.9784550219774246,"[""bg-region-t2"", ""sn-region-t2"", ""pk-capital-t0"", ""tz-region-t1""]",43.68125915527344,66.568359375,65.5186996459961,66.568359375
9,2.585594102740288,1073.6893310546875,1e-06,0.19047619047619047,3.865096127614379,"[""ch-region-t2"", ""co-currency-t0"", ""vn-currency-t1"", ""mz-region-t1""]",43.68125915527344,66.568359375,65.5186996459961,66.568359375
10,0.34981219097971916,308.5513916015625,1e-06,0.21164021164021163,3.876237186603248,"[""bg-region-t1"", ""il-capital-t3"", ""cd-region-t0"", ""tn-region-t2""]",43.68125915527344,66.568359375,65.5186996459961,66.568359375
11,0.3077262304723263,187.05625915527344,1e-06,0.2328042328042328,3.9318844191730022,"[""ro-region-t1"", ""so-region-t0"", ""ch-region-t1"", ""hk-region-t1""]",43.68125915527344,66.568359375,65.5186996459961,66.568359375
12,0.5895092701539397,258.2943115234375,1e-06,0.25396825396825395,3.8522093957290053,"[""ng-region-t3"", ""tn-capital-t3"", ""ve-capital-t0"", ""dk-capital-t0""]",43.680177211761475,66.568359375,65.5186996459961,66.568359375
13,0.807066673412919,498.6756896972656,1e-06,0.2751322751322751,3.8692504577338696,"[""bf-region-t0"", ""il-capital-t2"", ""nl-currency-t1"", ""pr-currency-t3""]",43.68125915527344,66.568359375,65.5186996459961,66.568359375
14,0.6378304170211777,1033.5482177734375,1e-06,0.2962962962962963,3.851959250867367,"[""ma-currency-t3"", ""th-capital-t2"", ""cg-region-t1"", ""sn-capital-t3""]",43.68125915527344,66.568359375,65.5186996459961,66.568359375
15,0.2361858645454049,509.95465087890625,1e-06,0.31746031746031744,3.85697784088552,"[""sn-capital-t2"", ""no-capital-t0"", ""ir-capital-t1"", ""bf-region-t2""]",43.683109283447266,66.568359375,65.5186996459961,66.568359375
16,2.674551233300008,637.57080078125,1e-06,0.3386243386243386,3.838598451577127,"[""za-region-t2"", ""dk-region-t1"", ""ba-currency-t3"", ""zw-region-t2""]",43.681721687316895,66.568359375,65.5186996459961,66.568359375
