arm,training_condition,data_fraction,max_steps,seed,selected_train_rows,eligible_dataset_passes,heldout_initial_jspace_accuracy,heldout_terminal_jspace_accuracy,heldout_jspace_net_gain,heldout_jspace_mcnemar_p,heldout_terminal_clean_accuracy,heldout_terminal_random_accuracy,screen_jspace_net_gain,transfer_initial_jspace_accuracy,transfer_terminal_jspace_accuracy,transfer_jspace_net_gain,transfer_terminal_clean_accuracy
j-full-s100-primary,jspace,1.0,100,20260825,189,2.1164021164021163,0.20930232558139536,0.9767441860465116,0.7674418604651163,3.1554436208840472e-30,0.9844961240310077,0.9844961240310077,0.7384615384615385,0.4489795918367347,0.6938775510204082,0.24489795918367346,0.8979591836734694
j-full-s100-replicate,jspace,1.0,100,20260826,189,2.1164021164021163,0.20930232558139536,0.9224806201550387,0.7131782945736435,4.0389678347315804e-28,1.0,1.0,0.6923076923076923,0.4489795918367347,0.6530612244897959,0.20408163265306123,0.9183673469387755
random-full-s100,matched_random,1.0,100,20260825,189,2.1164021164021163,0.20930232558139536,0.5813953488372093,0.37209302325581395,2.4300843108615577e-10,0.9767441860465116,0.9612403100775194,0.4,0.4489795918367347,0.5918367346938775,0.14285714285714285,0.8367346938775511
sham-full-s100,sham,1.0,100,20260825,189,2.1164021164021163,0.20930232558139536,0.6589147286821705,0.4496124031007752,4.742842403537839e-15,0.9767441860465116,0.9689922480620154,0.4153846153846154,0.4489795918367347,0.5510204081632653,0.10204081632653061,0.8979591836734694
